Trainer,Wins,Losses,Ties,Win Percentage
Mewtwo,393,1,0,99.75%
ProfOak-Charizard,392,2,0,99.49%
Champion-Charizard,392,1,0,99.75%
ProfOak-Venusaur,391,2,0,99.49%
ProfOak-Blastoise,390,4,0,98.98%
Champion-Venusaur,389,5,0,98.73%
Lance,388,6,0,98.48%
Champion-Blastoise,387,7,0,98.22%
Lorelei,386,8,0,97.97%
Rival6-Charmander,383,11,0,97.21%
Rival6-Bulbasaur,382,12,0,96.95%
Bruno,381,13,0,96.70%
Rival6-Squirtle,380,14,0,96.45%
Articuno,380,14,0,96.45%
Zapdos,379,15,0,96.19%
Giovanni3,377,17,0,95.69%
Agatha,376,18,0,95.43%
CoolTrainerM2,375,19,0,95.18%
Rival5-Bulbasaur,375,19,0,95.18%
Sabrina,374,20,0,94.92%
Juggler2,371,23,0,94.16%
Blaine,370,23,0,94.15%
Rival5-Charmander,369,25,0,93.65%
CoolTrainerM5,368,26,0,93.40%
CoolTrainerM8,364,30,0,92.39%
CoolTrainerM3,363,31,0,92.13%
CoolTrainerM4,363,31,0,92.13%
CoolTrainerF3,363,31,0,92.13%
Moltres,363,31,0,92.13%
Pokemaniac6,362,32,0,91.88%
CoolTrainerM6,362,31,0,92.11%
CoolTrainerF8,362,32,0,91.88%
Rival5-Squirtle,360,34,0,91.37%
CoolTrainerF5,357,37,0,90.61%
CoolTrainerF6,356,38,0,90.36%
CoolTrainerF2,355,39,0,90.10%
CoolTrainerF4,354,40,0,89.85%
BirdKeeper13,353,41,0,89.59%
CoolTrainerM9,353,41,0,89.59%
Tamer5,352,42,0,89.34%
CoolTrainerF7,350,44,0,88.83%
Giovanni2,349,45,0,88.58%
Blackbelt9,347,47,0,88.07%
CoolTrainerM7,346,48,0,87.82%
Koga,345,48,0,87.79%
Tamer6,343,51,0,87.06%
Juggler7,341,52,0,86.77%
CoolTrainerM1,337,57,0,85.53%
SuperNerd11,335,59,0,85.03%
Psychic1,333,61,0,84.52%
BirdKeeper9,332,60,0,84.69%
SuperNerd9,331,63,0,84.01%
Blackbelt6,331,63,0,84.01%
Juggler4,330,64,0,83.76%
Tamer4,330,64,0,83.76%
Juggler3,329,65,0,83.50%
Psychic4,327,67,0,82.99%
BirdKeeper12,326,67,0,82.95%
Burglar4,325,69,0,82.49%
Juggler8,325,69,0,82.49%
Psychic2,324,69,0,82.44%
Rocket25,321,73,0,81.47%
Beauty11,319,75,0,80.96%
Psychic3,319,75,0,80.96%
Tamer1,319,75,0,80.96%
Gentleman4,318,76,0,80.71%
Tamer2,316,78,0,80.20%
Burglar5,315,77,0,80.36%
Swimmer13,314,80,0,79.70%
Rocket38,312,82,0,79.19%
SuperNerd10,309,85,0,78.43%
Scientist12,308,86,0,78.17%
Blackbelt1,307,87,0,77.92%
Juggler6,306,87,0,77.86%
Blackbelt8,306,88,0,77.66%
Rocket29,306,88,0,77.66%
Swimmer12,305,89,0,77.41%
CueBall9,304,90,0,77.16%
Fisher8,303,91,0,76.90%
Burglar7,300,93,0,76.34%
Blackbelt7,300,94,0,76.14%
Scientist6,299,95,0,75.89%
Beauty7,298,96,0,75.63%
Burglar8,297,97,0,75.38%
Erika,295,99,0,74.87%
Swimmer9,294,100,0,74.62%
Fisher7,293,101,0,74.37%
Rocket36,293,101,0,74.37%
SuperNerd12,292,101,0,74.30%
Burglar6,291,103,0,73.86%
Burglar9,290,103,0,73.79%
Biker6,288,106,0,73.10%
Biker8,288,106,0,73.10%
Swimmer15,288,106,0,73.10%
Juggler1,288,106,0,73.10%
Rocket41,285,109,0,72.34%
Swimmer10,284,109,0,72.26%
Tamer3,284,110,0,72.08%
Giovanni1,283,111,0,71.83%
Rocket34,282,112,0,71.57%
Scientist2,281,113,0,71.32%
Swimmer8,280,113,0,71.25%
CoolTrainerM10,280,114,0,71.07%
Scientist3,279,114,0,70.99%
Biker12,278,116,0,70.56%
Swimmer14,278,116,0,70.56%
Rival4-Charmander,278,116,0,70.56%
BirdKeeper11,277,117,0,70.30%
Rival4-Bulbasaur,275,119,0,69.80%
Beauty8,274,120,0,69.54%
BirdKeeper7,273,121,0,69.29%
Channeler24,272,122,0,69.04%
Swimmer6,269,125,0,68.27%
Channeler22,269,125,0,68.27%
Scientist4,268,120,0,69.07%
Pokemaniac1,266,128,0,67.51%
Biker4,266,128,0,67.51%
Beauty13,266,128,0,67.51%
Scientist7,265,128,0,67.43%
Biker11,263,131,0,66.75%
Beauty12,263,131,0,66.75%
Fisher10,262,131,0,66.67%
Beauty14,262,131,0,66.67%
Blackbelt2,262,132,0,66.50%
Beauty6,261,132,0,66.41%
Blackbelt4,261,129,0,66.92%
Blackbelt5,260,134,0,65.99%
Scientist10,259,133,0,66.07%
Scientist1,258,131,0,66.32%
Rocket32,257,137,0,65.23%
Rocket37,256,138,0,64.97%
BirdKeeper8,255,139,0,64.72%
JrTrainerF23,252,142,0,63.96%
Biker3,251,143,0,63.71%
Rocket31,250,144,0,63.45%
BirdKeeper5,249,144,0,63.36%
Rocket28,249,143,0,63.52%
Beauty15,248,146,0,62.94%
Swimmer5,246,148,0,62.44%
Rocket26,245,148,0,62.34%
JrTrainerF24,244,150,0,61.93%
CueBall6,243,150,0,61.83%
Swimmer3,242,152,0,61.42%
BirdKeeper17,242,152,0,61.42%
Lass4,241,153,0,61.17%
CueBall8,241,153,0,61.17%
Blackbelt3,241,153,0,61.17%
Rocket35,240,154,0,60.91%
JrTrainerF16,239,155,0,60.66%
Rival4-Squirtle,239,155,0,60.66%
BirdKeeper3,237,157,0,60.15%
Rocket39,233,159,0,59.44%
JrTrainerF21,231,160,0,59.08%
BirdKeeper14,229,165,0,58.12%
Rocket24,229,165,0,58.12%
BirdKeeper6,228,166,0,57.87%
CueBall4,227,166,0,57.76%
Rocket27,227,167,0,57.61%
Swimmer2,225,169,0,57.11%
Scientist13,225,157,0,58.90%
BirdKeeper15,224,170,0,56.85%
Rocket30,223,171,0,56.60%
LtSurge,223,171,0,56.60%
Swimmer11,222,172,0,56.35%
CueBall5,220,174,0,55.84%
BirdKeeper16,220,174,0,55.84%
CueBall7,216,178,0,54.82%
Rocket23,216,178,0,54.82%
Beauty10,215,179,0,54.57%
Channeler7,215,179,0,54.57%
Burglar3,213,181,0,54.06%
Beauty9,212,182,0,53.81%
Channeler19,212,182,0,53.81%
BirdKeeper10,210,184,0,53.30%
Channeler23,210,184,0,53.30%
Rocket16,209,185,0,53.05%
JrTrainerF20,208,186,0,52.79%
Rocket40,208,185,0,52.93%
Channeler3,208,186,0,52.79%
Channeler14,208,186,0,52.79%
BirdKeeper4,206,183,0,52.96%
Rocket22,206,188,0,52.28%
JrTrainerF12,205,189,0,52.03%
JrTrainerF15,205,189,0,52.03%
JrTrainerF22,205,186,0,52.43%
Biker9,202,191,0,51.40%
BirdKeeper1,202,192,0,51.27%
Channeler10,202,192,0,51.27%
JrTrainerF14,201,193,0,51.02%
Rocket14,201,193,0,51.02%
CueBall1,200,194,0,50.76%
Scientist11,200,194,0,50.76%
Rocket20,200,194,0,50.76%
Misty,200,194,0,50.76%
Channeler15,200,194,0,50.76%
CoolTrainerF1,199,195,0,50.51%
Channeler2,199,195,0,50.51%
CueBall2,198,195,0,50.38%
Gambler6,198,191,0,50.90%
Channeler18,198,196,0,50.25%
Channeler11,197,197,0,50.00%
Juggler5,196,198,0,49.75%
Rival3-Bulbasaur,196,198,0,49.75%
Channeler9,196,198,0,49.75%
Rocket33,193,201,0,48.98%
CueBall3,192,201,0,48.85%
Channeler4,192,202,0,48.73%
Biker15,191,203,0,48.48%
Scientist8,191,198,0,49.10%
Channeler6,191,203,0,48.48%
Rocket21,190,204,0,48.22%
Channeler17,190,204,0,48.22%
Channeler20,190,204,0,48.22%
Channeler21,190,204,0,48.22%
Swimmer4,189,205,0,47.97%
BirdKeeper2,189,205,0,47.97%
Rival3-Squirtle,189,205,0,47.97%
Rival3-Charmander,189,205,0,47.97%
Hiker13,188,206,0,47.72%
Beauty4,188,204,0,47.96%
Channeler13,188,206,0,47.72%
Channeler1,185,209,0,46.95%
Beauty5,183,210,0,46.56%
Pokemaniac7,181,213,0,45.94%
Biker7,181,213,0,45.94%
Hiker12,180,214,0,45.69%
Rocket9,180,212,0,45.92%
Rocket17,180,214,0,45.69%
Channeler5,180,214,0,45.69%
Pokemaniac3,179,215,0,45.43%
Channeler8,179,214,0,45.55%
SuperNerd6,177,217,0,44.92%
Biker1,177,217,0,44.92%
Channeler12,177,217,0,44.92%
Burglar2,175,214,0,44.99%
Channeler16,175,219,0,44.42%
Lass14,174,220,0,44.16%
Swimmer7,174,220,0,44.16%
Hiker6,173,221,0,43.91%
Rocket19,170,224,0,43.15%
Biker13,169,225,0,42.89%
Biker14,169,225,0,42.89%
Fisher4,168,224,0,42.86%
Rocket8,168,225,0,42.75%
JrTrainerF13,167,227,0,42.39%
Burglar1,166,228,0,42.13%
Rocket11,165,229,0,41.88%
Pokemaniac5,163,227,0,41.79%
JrTrainerM8,162,232,0,41.12%
Pokemaniac2,160,234,0,40.61%
Hiker5,159,235,0,40.36%
Hiker7,158,234,0,40.31%
JrTrainerF11,154,240,0,39.09%
Hiker11,153,241,0,38.83%
Biker2,153,241,0,38.83%
Pokemaniac4,152,242,0,38.58%
Hiker8,152,242,0,38.58%
Fisher5,152,239,0,38.87%
JrTrainerM9,149,245,0,37.82%
Biker5,148,245,0,37.66%
Gambler7,144,248,0,36.73%
Lass18,143,251,0,36.29%
Beauty1,142,252,0,36.04%
Scientist9,142,245,0,36.69%
Rocket7,142,249,0,36.32%
JrTrainerF19,141,253,0,35.79%
Fisher3,141,252,0,35.88%
Fisher6,140,254,0,35.53%
SuperNerd4,138,256,0,35.03%
Lass15,137,257,0,34.77%
Beauty2,134,258,0,34.18%
Youngster13,133,261,0,33.76%
JrTrainerF18,129,264,0,32.82%
JrTrainerM5,123,269,0,31.38%
Rival2-Bulbasaur,123,271,0,31.22%
Youngster11,122,271,0,31.04%
Lass17,122,271,0,31.04%
Gambler5,122,272,0,30.96%
Rocket5,121,271,0,30.87%
JrTrainerM7,120,271,0,30.69%
Fisher9,120,274,0,30.46%
Rocket13,120,274,0,30.46%
JrTrainerF8,119,275,0,30.20%
Rocket15,117,276,0,29.77%
Lass13,112,280,0,28.57%
JrTrainerF9,112,282,0,28.43%
Engineer3,111,282,0,28.24%
Lass16,110,283,0,27.99%
JrTrainerF17,110,283,0,27.99%
Youngster10,108,285,0,27.48%
JrTrainerF10,108,285,0,27.48%
JrTrainerF7,107,285,0,27.30%
Sailor8,105,287,0,26.79%
Rival2-Charmander,105,289,0,26.65%
Rocket10,105,289,0,26.65%
JrTrainerF5,104,290,0,26.40%
Rocket12,104,290,0,26.40%
BugCatcher11,102,290,0,26.02%
SuperNerd3,102,292,0,25.89%
SuperNerd7,102,292,0,25.89%
Hiker9,102,251,0,28.90%
Gentleman3,100,291,0,25.58%
JrTrainerM6,99,294,0,25.19%
Youngster6,95,296,0,24.30%
Rocket4,95,295,0,24.36%
SuperNerd5,93,298,0,23.79%
Rival2-Squirtle,93,301,0,23.60%
Fisher2,92,302,0,23.35%
Youngster12,91,301,0,23.21%
Lass12,89,303,0,22.70%
Gentleman1,89,303,0,22.70%
Sailor5,87,306,0,22.14%
Rocket18,87,306,0,22.14%
Gentleman5,87,305,0,22.19%
Gambler4,86,306,0,21.94%
Youngster5,84,307,0,21.48%
Sailor7,83,308,0,21.23%
JrTrainerF4,83,307,0,21.28%
JrTrainerF6,83,307,0,21.28%
Fisher1,83,310,0,21.12%
Hiker3,79,315,0,20.05%
BugCatcher13,77,315,0,19.64%
Sailor1,77,316,0,19.59%
Hiker2,77,317,0,19.54%
Sailor4,76,317,0,19.34%
Gambler2,75,316,0,19.18%
Sailor6,74,320,0,18.78%
Rocker1,74,319,0,18.83%
SuperNerd8,73,313,0,18.91%
Hiker4,72,322,0,18.27%
BugCatcher14,69,324,0,17.56%
JrTrainerF2,69,323,0,17.60%
Youngster9,67,324,0,17.14%
Sailor2,67,325,0,17.09%
Gentleman2,67,325,0,17.09%
Youngster8,66,326,0,16.84%
JrTrainerF3,65,328,0,16.54%
Sailor3,64,327,0,16.37%
Engineer1,62,331,0,15.78%
Gambler1,62,331,0,15.78%
Rocker2,57,328,0,14.81%
Brock,57,337,0,14.47%
Youngster4,55,338,0,13.99%
Lass11,55,338,0,13.99%
JrTrainerM3,55,336,0,14.07%
Swimmer1,54,338,0,13.78%
Lass10,53,340,0,13.49%
JrTrainerF1,53,339,0,13.52%
Youngster2,52,340,0,13.27%
Fisher11,52,340,0,13.27%
JrTrainerM4,51,341,0,13.01%
Hiker1,51,343,0,12.94%
JrTrainerM2,45,347,0,11.48%
Rocket6,45,347,0,11.48%
Hiker14,45,293,0,13.31%
Gambler3,43,349,0,10.97%
Lass7,42,349,0,10.74%
Lass9,41,351,0,10.46%
BugCatcher12,40,354,0,10.15%
Beauty3,39,354,0,9.92%
Engineer2,38,354,0,9.69%
Youngster7,37,355,0,9.44%
Rocket1,37,355,0,9.44%
Rocket2,37,356,0,9.41%
Lass8,34,358,0,8.67%
Youngster3,33,360,0,8.40%
SuperNerd2,33,360,0,8.40%
BugCatcher10,32,361,0,8.14%
Rocket3,29,363,0,7.40%
Lass6,28,364,0,7.14%
Lass3,27,365,0,6.89%
Rival1A-Bulbasaur,27,365,0,6.89%
Hiker10,25,351,0,6.65%
Youngster1,22,370,0,5.61%
Lass2,22,370,0,5.61%
Lass5,22,369,0,5.63%
Biker10,21,319,0,6.18%
BugCatcher9,20,372,0,5.10%
JrTrainerM1,20,372,0,5.10%
SuperNerd1,19,373,0,4.85%
BugCatcher4,18,375,0,4.58%
Rival1A-Squirtle,18,374,0,4.59%
Lass1,16,376,0,4.08%
Rival1A-Charmander,14,378,0,3.57%
BugCatcher8,13,380,0,3.31%
BugCatcher2,12,381,0,3.05%
BugCatcher5,11,383,0,2.79%
BugCatcher7,11,380,0,2.81%
Rival1-Bulbasaur,10,382,0,2.55%
BugCatcher6,9,385,0,2.28%
BugCatcher3,6,386,0,1.53%
BugCatcher1,4,388,0,1.02%
Rival1-Squirtle,1,391,0,0.26%
Rival1-Charmander,0,392,0,0.00%
Scientist5,0,364,0,0.00%
